Product Name,Part Number,Desc,Link,Unit Price,Qty,Total Price,Running Total
Operational Amplifiers - Op Amps SoundPlus ultra-low noise and distortio A 595-OPA1656ID,OPA1656IDR,"OPA1656IDR Opamp, Amp in preamp",https://www.mouser.com/ProductDetail/Texas-Instruments/OPA1656IDR?qs=vLWxofP3U2ztlJVp%252BbIcnQ%3D%3D,$2.99,4,$11.96,$11.96
Aluminum Electrolytic Capacitors - Radial Leaded WCAP-AT1H 10uF 50V 20% Radial,860240672002,"10uF Capacitor, used in a variety of locations",https://www.mouser.com/ProductDetail/Wurth-Elektronik/860240672002?qs=0KOYDY2FL28MVrwKReUO5Q%3D%3D,$0.17,8,$1.36,$13.32
Aluminum Electrolytic Capacitors - Radial Leaded WCAP-AT1H 22uF 50V 20% Radial,860240673003,"22uF Capacitor, used in a variety of locations",https://www.mouser.com/ProductDetail/Wurth-Elektronik/860240673003?qs=0KOYDY2FL28JVTVT2XSgwQ%3D%3D,$0.19,6,$1.14,$14.46
Phone Connectors Audio Jacks,SJ1-3554NG,3.5mm audio jack input,https://www.mouser.com/ProductDetail/Same-Sky/SJ1-3554NG?qs=WyjlAZoYn50FPSMJgVuxug%3D%3D,$0.57,2,$1.14,$15.60
DC Power Connectors Power Jacks,PJ-059A,DC power jack,https://www.mouser.com/ProductDetail/Same-Sky/PJ-059A?qs=WyjlAZoYn50bjj4Obx2X9w%3D%3D,$0.97,2,$1.94,$17.54
Thin Film Resistors - SMD,RT1206FRD0747KL,47 kOhm Resistor,https://www.mouser.com/ProductDetail/YAGEO/RT1206FRD0747KL?qs=k2KEx2DUIRR1F0mE2a3ZUQ%3D%3D,$0.10,8,$0.80,$18.34
Thin Film Resistors - SMD 1/4W 2.2K ohm 1% 50ppm,RT1206FRE072K2L,2.2 kOhm Resistor,https://www.mouser.com/ProductDetail/YAGEO/RT1206FRE072K2L?qs=yNCrj0CQcyJif6VASMbdeQ%3D%3D,$0.10,4,$0.40,$18.74
Thin Film Resistors - SMD 1/4W 10K ohm 1% 50ppm,RT1206FRE0710KL,10 kOhm Resistor,https://www.mouser.com/ProductDetail/YAGEO/RT1206FRE0710KL?qs=8cPjvKtxWv45%2FSPYTvTNKg%3D%3D,$0.10,4,$0.40,$19.14
Thin Film Resistors - SMD 180K  OHM   1%  50PPM   1/4W,RT1206FRE07180KL,180 kOhm Resistor,https://www.mouser.com/ProductDetail/YAGEO/RT1206FRE07180KL?qs=yNCrj0CQcyKwf2yXFo5b%2FQ%3D%3D,$0.10,4,$0.40,$19.54
Thin Film Resistors - SMD 4.7K Ohm 1% 1/4W 200 Volts 50ppm,RT1206FRE074K7L,4.7 kOhm Resistor,https://www.mouser.com/ProductDetail/YAGEO/RT1206FRE074K7L?qs=yNCrj0CQcyLcoH%2FB%252BiP%2FFQ%3D%3D,$0.10,4,$0.40,$19.94
